走向,zou3 xiang4
楼层,lou2 ceng2
楼宇,lou2 yu3
楼子,lou2 zi5
楼主,lou2 zhu3
楼下,lou2 xia4
楼上,lou2 shang4
两方,liang3 fang1
雅量,ya3 liang4
雅间,ya3 jian1
雅阁,Ya3 ge2
雅集,ya3 ji2
雅静,ya3 jing4
樊笼,fan2 long2
雅饬,ya3 chi4
樊城,Fan2 cheng2
雅驯,ya3 xun4
雅丽,ya3 li4
鼎峙,ding3 zhi4
两性,liang3 xing4
纭纭,yun2 yun2
枞阳,Zong1 yang2
枞树,cong1 shu4
两德,liang3 De2
乐高,Le4 gao1
集中,ji2 zhong1
乐音,yue4 yin1
乐队,yue4 dui4
纴织,ren4 zhi1
集刊,ji2 kan1
乐陵,Le4 ling2
两广,Liang3 Guang3
集合,ji2 he2
乐都,Le4 du1
乐道,le4 dao4
乐透,le4 tou4
乐迷,yue4 mi2
乐趣,le4 qu4
乐购,Le4 gou4
乐谱,yue4 pu3
素来,su4 lai2
素常,su4 chang2
乐观,le4 guan1
素手,su4 shou3
乐蜀,Le4 shu3
乐蒂,Le4 Di4
素描,su4 miao2
素数,su4 shu4
乐至,Le4 zhi4
素日,su4 ri4
乐经,Yue4 jing1
乐章,yue4 zhang1
乐理,yue4 li3
素有,su4 you3
素材,su4 cai2
乐清,Yue4 qing1
素净,su4 jing5
素筵,su4 yan2
素菜,su4 cai4
素质,su4 zhi4
乐业,Le4 ye4
素雅,su4 ya3
素面,su4 mian4
乐东,Le4 dong1
乐曲,yue4 qu3
素颜,su4 yan2
素食,su4 shi2
素养,su4 yang3
乐昌,Le4 chang1
素馅,su4 xian4
素面,su4 mian4
乐于,le4 yu2
乐手,yue4 shou3
乐意,le4 yi4
乐律,yue4 lu:4
素斋,su4 zhai1
乐府,yue4 fu3
集团,ji2 tuan2
乐平,Le4 ping2
乐师,yue4 shi1
纺纱,fang3 sha1
纺织,fang3 zhi1
乐山,Le4 shan1
纺车,fang3 che1
乐安,Le4 an1
纺轮,fang3 lun2
乐子,le4 zi5
纺锤,fang3 chui2
集子,ji2 zi5
乐天,le4 tian1
乐坛,yue4 tan2
两岸,liang3 an4
乐团,yue4 tuan2
乐园,le4 yuan2
乐器,yue4 qi4
索价,suo3 jia4
索取,suo3 qu3
乐句,yue4 ju4
乐儿,le4 r5
索命,suo3 ming4
乐亭,Lao4 ting2
乐事,le4 shi4
乐事,Le4 shi4
乐之,Le4 zhi1
索国,Suo3 Guo2
索契,Suo3 qi4
集安,Ji2 an1
两宋,Liang3 Song4
集宁,Ji2 ning2
集居,ji2 ju1
索尼,Suo3 ni2
集市,ji2 shi4
两国,liang3 guo2
集成,ji2 cheng2
槽头,cao2 tou2
槽钢,cao2 gang1
槽车,cao2 che1
槽牙,cao2 ya2
槽孔,cao2 kong3
槽坊,cao2 fang5
两句,liang3 ju4
集拢,ji2 long3
集散,ji2 san4
集料,ji2 liao4
集会,ji2 hui4
槵子,huan4 zi3
两全,liang3 quan2
两仪,liang3 yi2
槲栎,hu2 li4
槲树,hu2 shu4
索引,suo3 yin3
集材,ji2 cai2
两侧,liang3 ce4
两倍,liang3 bei4
索性,suo3 xing4
槭树,qi4 shu4
槭木,qi4 mu4
集束,ji2 shu4
集权,ji2 quan2
集注,ji2 zhu4
集管,ji2 guan3
集约,ji2 yue1
两下,liang3 xia4
梿枷,lian2 jia1
鼎新,ding3 xin1
集纳,ji2 na4
槜李,zui4 li3
槜李,Zui4 li3
全党,quan2 dang3
全麻,quan2 ma2
全麦,quan2 mai4
集结,ji2 jie2
集美,Ji2 mei3
杠头,gang4 tou2
杠铃,gang4 ling2
杠荡,gang4 dang4
杠杆,gang4 gan3
杠子,gang4 zi5
杠夫,gang4 fu1
杠刀,gang4 dao1
全体,quan2 ti3
全食,quan2 shi2
索普,Suo3 pu3
槐荫,Huai2 yin4
槐树,huai2 shu4
全音,quan2 yin1
集群,ji2 qun2
枪闩,qiang1 shuan1
枪衣,qiang1 yi1
枪术,qiang1 shu4
枪膛,qiang1 tang2
枪声,qiang1 sheng1
枪管,qiang1 guan3
枪筒,qiang1 tong3
枪炮,qiang1 pao4
枪眼,qiang1 yan3
枪版,qiang1 ban3
索求,suo3 qiu2
枪法,qiang1 fa3
枪决,qiang1 jue2
枪杀,qiang1 sha1
枪机,qiang1 ji1
索然,suo3 ran2
枪械,qiang1 xie4
索尔,Suo3 er3
索索,suo3 suo3
枪杆,qiang1 gan3
枪栓,qiang1 shuan1
枪枝,qiang1 zhi1
索县,Suo3 xian4
枪替,qiang1 ti4
枪毙,qiang1 bi4
枪支,qiang1 zhi1
索要,suo3 yao4
枪击,qiang1 ji1
索解,suo3 jie3
枪托,qiang1 tuo1
索贿,suo3 hui4
枪手,qiang1 shou3
枪战,qiang1 zhan4
枪弹,qiang1 dan4
枪崩,qiang1 beng1
枪子,qiang1 zi3
枪口,qiang1 kou3
枪匪,qiang1 fei3
枪刺,qiang1 ci4
枪伤,qiang1 shang1
集聚,ji2 ju4
全面,quan2 mian4
槌球,chui2 qiu2
全集,quan2 ji2
构陷,gou4 xian4
索赔,suo3 pei2
构造,gou4 zao4
索道,suo3 dao4
全长,quan2 chang2
构词,gou4 ci2
构筑,gou4 zhu4
构架,gou4 jia4
构成,gou4 cheng2
全都,quan2 dou1
构想,gou4 xiang3
构思,gou4 si1
构建,gou4 jian4
构图,gou4 tu2
构件,gou4 jian4
全部,quan2 bu4
集萃,ji2 cui4
全速,quan2 su4
集训,ji2 xun4
全轮,quan2 lun2
桤树,qi1 shu4
集贸,ji2 mao4
全军,quan2 jun1
集资,ji2 zi1
集贤,Ji2 xian2
集运,ji2 yun4
全身,quan2 shen1
集部,ji2 bu4
紫外,zi3 wai4
榴莲,liu2 lian2
紫斑,zi3 ban1
榴梿,liu2 lian2
紫晶,zi3 jing1
紫杉,zi3 shan1
榴弹,liu2 dan4
集邮,ji2 you2
全貌,quan2 mao4
全豹,quan2 bao4
紫檀,zi3 tan2
紫气,zi3 qi4
荣辱,rong2 ru3
荣军,rong2 jun1
紫竹,zi3 zhu2
紫胀,zi3 zhang4
紫色,zi3 se4
紫草,zi3 cao3
紫荆,zi3 jing1
荣誉,rong2 yu4
紫菜,zi3 cai4
荣华,rong2 hua2
荣耀,rong2 yao4
荣美,rong2 mei3
荣县,Rong2 xian4
紫薇,zi3 wei1
荣登,rong2 deng1
荣获,rong2 huo4
紫藤,zi3 teng2
荣民,rong2 min2
紫苏,zi3 su1
紫袍,zi3 pao2
紫貂,zi3 diao1
荣归,rong2 gui1
荣格,Rong2 ge2
荣景,rong2 jing3
紫金,Zi3 jin1
荣昌,Rong2 chang1
紫铜,zi3 tong2
紫阳,Zi3 yang2
荣成,Rong2 cheng2
荣幸,rong2 xing4
荣市,Rong2 shi4
紫云,Zi3 yun2
荣威,Rong2 wei1
全托,quan2 tuo1
荣光,rong2 guang1
荣任,rong2 ren4
全蚀,quan2 shi2
全色,quan2 se4
全般,quan2 ban1
榫头,sun3 tou5
榫凿,sun3 zao2
榫销,sun3 xiao1
榫眼,sun3 yan3
全能,quan2 neng2
全职,quan2 zhi2
集锦,ji2 jin3
榨菜,zha4 cai4
榨油,zha4 you2
扎实,zha2 shi5
榨取,zha4 qu3
集镇,ji2 zhen4
全美,quan2 Mei3
集集,Ji2 ji2
集韵,Ji2 yun4
集餐,ji2 can1
全线,quan2 xian4
全纯,quan2 chun2
榜首,bang3 shou3
扎寨,zha1 zhai4
榜笞,bang4 chi1
榜眼,bang3 yan3
榜样,bang3 yang4
集体,ji2 ti3
鼎族,ding3 zu2
雇主,gu4 zhu3
榛鸡,zhen1 ji1
榛薮,zhen1 sou3
榛芜,zhen1 wu2
榛莽,zhen1 mang3
榛色,zhen1 se4
扎营,zha1 ying2
榛榛,zhen1 zhen1
榛栗,zhen1 li4
榛果,zhen1 guo3
榛实,zhen1 shi2
榛子,zhen1 zi5
全等,quan2 deng3
榛仁,zhen1 ren2
雇佣,gu4 yong1
全称,quan2 cheng1
全程,quan2 cheng2
全票,quan2 piao4
榕江,Rong2 jiang1
榕树,rong2 shu4
累垮,lei4 kua3
雇员,gu4 yuan2
榔头,lang2 tou5
榔槺,lang2 kang1
榔榆,lang2 yu2
鼎沸,ding3 fei4
鳗鱼,man2 yu2
全知,quan2 zhi1
累坠,lei2 zhui4
榆阳,Yu2 yang2
榆罔,Yu2 wang3
累坏,lei4 huai4
榆社,Yu2 she4
累心,lei4 xin1
榆次,Yu2 ci4
累犯,lei3 fan4
榆树,yu2 shu4
榆树,Yu2 shu4
累积,lei3 ji1
累累,lei2 lei2
榆林,Yu2 lin2
累累,lei3 lei3
累累,lei4 lei4
榆中,Yu2 zhong1
全省,quan2 sheng3
全盘,quan2 pan2
概述,gai4 shu4
概论,gai4 lun4
概观,gai4 guan1
概览,gai4 lan3
概要,gai4 yao4
累计,lei3 ji4
累赘,lei2 zhui4
累进,lei3 jin4
概率,gai4 lu:4
全盛,quan2 sheng4
概况,gai4 kuang4
概数,gai4 shu4
细作,xi4 zuo4
概括,gai4 kuo4
细分,xi4 fen1
细则,xi4 ze2
细嫩,xi4 nen4
概念,gai4 nian4
概形,gai4 xing2
细密,xi4 mi4
概型,gai4 xing2
雉鸡,zhi4 ji1
鳗鲡,man2 li2
鼎湖,Ding3 hu2
不定,bu4 ding4
鼎盛,ding3 sheng4
楹联,ying2 lian2
隽品,juan4 pin3
楸树,qiu1 shu4
隽妙,juan4 miao4
楷体,kai3 ti3
楷模,kai3 mo2
楷书,kai3 shu1
楷字,kai3 zi4
隽拔,juan4 ba2
隽敏,juan4 min3
极点,ji2 dian3
极限,ji2 xian4
极辣,ji2 la4
极轴,ji2 zhou2
极超,ji2 chao1
极角,ji2 jiao3
极西,Ji2 xi1
极致,ji2 zhi4
细察,xi4 cha2
细小,xi4 xiao3
细微,xi4 wei1
极端,ji2 duan1
细心,xi4 xin1
细挑,xi4 tiao1
细数,xi4 shu3
极为,ji2 wei2
细毛,xi4 mao2
细沙,xi4 sha1
极权,ji2 quan2
细河,Xi4 he2
极乐,ji2 le4
极核,ji2 he2
极东,Ji2 dong1
细润,xi4 run4
极性,ji2 xing4
极径,ji2 jing4
细目,xi4 mu4
细看,xi4 kan4
极度,ji2 du4
细碎,xi4 sui4
极少,ji2 shao3
极小,ji2 xiao3
极客,ji2 ke4
极好,ji2 hao3
细究,xi4 jiu1
极大,ji2 da4
细节,xi4 jie2
极品,ji2 pin3
细粉,xi4 fen3
细粒,xi4 li4
极南,ji2 nan2
极北,ji2 bei3
极化,ji2 hua4
极力,ji2 li4
极刑,ji2 xing2
极其,ji2 qi2
极光,ji2 guang1
极值,ji2 zhi2
极了,ji2 le5
隽材,juan4 cai2
隽楚,juan4 chu3
隽永,juan4 yong3
隽茂,juan4 mao4
细线,xi4 xian4
楮纸,chu3 zhi3
全球,quan2 qiu2
业龙,ye4 long2
细致,xi4 zhi4
细绳,xi4 sheng2
细听,xi4 ting1
细胞,xi4 bao1
业余,ye4 yu2
业障,ye4 zhang4
细腰,xi4 yao1
业者,ye4 zhe3
业绩,ye4 ji4
业经,ye4 jing1
细腻,xi4 ni4
细菌,xi4 jun1
业界,ye4 jie4
业海,ye4 hai3
业根,ye4 gen1
业态,ye4 tai4
业师,ye4 shi1
业已,ye4 yi3
业大,ye4 da4
细语,xi4 yu3
细说,xi4 shuo1
细调,xi4 diao4
细软,xi4 ruan3
业务,ye4 wu4
业主,ye4 zhu3
全班,quan2 ban1
全熟,quan2 shu2
全然,quan2 ran2
隽语,juan4 yu3
全无,quan2 wu2
全港,Quan2 Gang3
全活,quan2 huo2
楦头,xuan4 tou5
楦子,xuan4 zi5
隽誉,jun4 yu4
鼎立,ding3 li4
雌性,ci2 xing4
雌狮,ci2 shi1
细辛,xi4 xin1
楠西,Nan2 xi1
楠竹,nan2 zhu2
细长,xi4 chang2
楠梓,Nan2 zi3
细雨,xi4 yu3
楠木,nan2 mu4
雌蕊,ci2 rui3
全民,quan2 min2
细盐,xi4 yan2
楞迦,Leng2 jia1
全歼,quan2 jian1
楞严,leng4 yan2
雌雄,ci2 xiong2
雌鹿,ci2 lu4
全权,quan2 quan2
雌黄,ci2 huang2
全椒,Quan2 jiao1
全本,quan2 ben3
全会,quan2 hui4
绅士,shen1 shi4
楚雄,Chu3 xiong2
楚辞,Chu3 ci2
全书,quan2 shu1
全景,quan2 jing3
鳔胶,biao4 jiao1
绍兴,Shao4 xing1
楚楚,chu3 chu3
一空,yi1 kong1
雍和,yong1 he2
楚州,Chu3 zhou1
楚国,Chu3 guo2
雍容,yong1 rong2
雍正,Yong1 zheng1
雍睦,yong1 mu4
雍穆,yong1 mu4
全新,quan2 xin1
雍重,yong1 zhong4
雍阏,yong1 e4
楔形,xie1 xing2
楔子,xie1 zi5
全文,quan2 wen2
全数,quan2 shu4
全才,quan2 cai2
枫叶,feng1 ye4
枫树,feng1 shu4
枫木,feng1 mu4
雍雍,yong1 yong1
全心,quan2 xin1
全复,quan2 fu4
全影,quan2 ying3
一种,yi1 zhong3
杨陵,Yang2 ling2
全年,quan2 nian2
杨锐,Yang2 Rui4
终了,zhong1 liao3
终傅,zhong1 Fu4
终南,Zhong1 nan2
终场,zhong1 chang3
杨维,Yang2 Wei2
终天,zhong1 tian1
终审,zhong1 shen3
终局,zhong1 ju2
终年,zhong1 nian2
终战,zhong1 zhan4
终于,zhong1 yu2
终日,zhong1 ri4
终期,zhong1 qi1
终极,zhong1 ji2
杨树,yang2 shu4
杨业,Yang2 ye4
杨森,Yang2 Sen1
终止,zhong1 zhi3
杨梅,yang2 mei2
杨梅,Yang2 mei2
杨桃,yang2 tao2
杨柳,yang2 liu3
杨朱,Yang2 Zhu1
终生,zhong1 sheng1
杨斌,Yang2 Bin1
终究,zhong1 jiu1
终端,zhong1 duan1
终结,zhong1 jie2
终老,zhong1 lao3
终声,zhong1 sheng1
终身,zhong1 shen1
杨妃,Yang2 Fei1
杨坚,Yang2 Jian1
终点,zhong1 dian3
全市,quan2 shi4
杨亿,Yang2 Yi4
杨俊,Yang2 Jun4
一秘,yi1 mi4
鼎足,ding3 zu2
全州,Quan2 zhou1
全尸,quan2 shi1
鳙鱼,yong1 yu2
雕像,diao1 xiang4
雕刻,diao1 ke4
全局,quan2 ju2
椿象,chun1 xiang4
雕塑,diao1 su4
全家,quan2 jia1
椽子,chuan2 zi5
全套,quan2 tao4
雕弊,diao1 bi4
全天,quan2 tian1
雕敝,diao1 bi4
雕漆,diao1 qi1
全场,quan2 chang3
全城,quan2 cheng2
雕版,diao1 ban3
椰蓉,ye2 rong2
雕琢,diao1 zhuo2
椰菜,ye1 cai4
椰丝,ye1 si1
椰油,ye1 you2
组件,zu3 jian4
椰壳,ye1 ke2
组分,zu3 fen4
椰林,ye1 lin2
组合,zu3 he2
组图,zu3 tu2
椰子,ye1 zi5
椰奶,ye1 nai3
雕花,diao1 hua1
椪柑,peng4 gan1
雕落,diao1 luo4
雕谢,diao1 xie4
雕镌,diao1 juan1
雕阑,diao1 lan2
组块,zu3 kuai4
椒江,Jiao1 jiang1
雕零,diao1 ling2
雕饰,diao1 shi4
不安,bu4 an1
桠杈,ya1 cha4
虽则,sui1 ze2
椎骨,zhui1 gu3
组委,zu3 wei3
虽是,sui1 shi4
全国,quan2 guo2
植被,zhi2 bei4
组字,zu3 zi4
组屋,zu3 wu1
组建,zu3 jian4
组成,zu3 cheng2
组曲,zu3 qu3
组织,zu3 zhi1
组胺,zu3 an4
组装,zu3 zhuang1
组词,zu3 ci2
组长,zu3 zhang3
组阁,zu3 ge2
植物,zhi2 wu4
植民,zhi2 min2
全员,quan2 yuan2
植树,zhi2 shu4
全向,quan2 xiang4
植根,zhi2 gen1
植株,zhi2 zhu1
绊住,ban4 zhu4
植入,zhi2 ru4
全同,quan2 tong2
虽然,sui1 ran2
椋鸟,liang2 niao3
全南,Quan2 nan2
全勤,quan2 qin2
全胜,quan2 sheng4
虽说,sui1 shuo1
椆苕,diao4 tiao2
椆水,Chou2 Shui3
全力,quan2 li4
椅背,yi3 bei4
椅子,yi3 zi5
椅凳,yi3 deng1
鼎革,ding3 ge2
鱆鱼,zhang1 yu2
全副,quan2 fu4
全优,quan2 you1
棻芳,fen1 fang1
全休,quan2 xiu1
棺椁,guan1 guo3
绊倒,ban4 dao3
棺材,guan1 cai5
棺木,guan1 mu4
全份,quan2 fen4
不孝,bu4 xiao4
鼎食,ding3 shi2
梾木,lai2 mu4
双乳,shuang1 ru3
鼎鼎,ding3 ding3
不孕,bu4 yun4
绊脚,ban4 jiao3
绊跤,ban4 jiao1
栖霞,Xi1 xia2
栖身,qi1 shen1
栖木,qi1 mu4
双人,shuang1 ren2
栖息,qi1 xi1
栖住,qi1 zhu4
内黄,Nei4 huang2
内鬼,nei4 gui3
内哄,nei4 hong4
内斗,nei4 dou4
内饰,nei4 shi4
内需,nei4 xu1
绗缝,hang2 feng2
森罗,sen1 luo2
森然,sen1 ran2
双倍,shuang1 bei4
森森,sen1 sen1
双侧,shuang1 ce4
内陆,nei4 lu4
森林,sen1 lin2
森严,sen1 yan2
结了,jie2 le5
双刃,shuang1 ren4
内阁,nei4 ge2
双向,shuang1 xiang4
内门,Nei4 men2
内销,nei4 xiao1
双喜,shuang1 xi3
栈顶,zhan4 ding3
栈阁,zhan4 ge2
栈道,zhan4 dao4
栈车,zhan4 che1
栈豆,zhan4 dou4
栈租,zhan4 zu1
结交,jie2 jiao1
栈桥,zhan4 qiao2
栈架,zhan4 jia4
栈板,zhan4 ban3
栈房,zhan4 fang2
栈恋,zhan4 lian4
栈径,zhan4 jing4
结仇,jie2 chou2
结伙,jie2 huo3
结伴,jie2 ban4
栈单,zhan4 dan1
栈主,zhan4 zhu3
内酯,nei4 zhi3
双城,Shuang1 cheng2
内乡,Nei4 xiang1
棠梨,tang2 li2
双塔,Shuang1 ta3
栋梁,dong4 liang2
双套,shuang1 tao4
双子,Shuang1 zi3
棚顶,peng2 ding3
结冰,jie2 bing1
棚架,peng2 jia4
结出,jie2 chu1
棚户,peng2 hu4
棚子,peng2 zi5
双射,shuang1 she4
结汇,jie1 hui4
棘轮,ji2 lun2
结合,jie2 he2
棘楚,ji2 chu3
棘手,ji2 shou3
双层,shuang1 ceng2
结喉,jie2 hou2
枣阳,Zao3 yang2
结单,jie2 dan1
枣庄,Zao3 zhuang1
枣泥,zao3 ni2
枣树,zao3 shu4
结婚,jie2 hun1
枣强,Zao3 qiang2
枣子,zao3 zi5
双峰,Shuang1 feng1
内部,nei4 bu4
棕黑,zong1 hei1
棕黄,zong1 huang2
结子,jie1 zi3
棕闾,zong1 lu:2
结子,jie2 zi5
棕色,zong1 se4
棕绳,zong1 sheng2
棕绷,zong1 beng1
棕缚,zong1 fu4
棕编,zong1 bian1
棕红,zong1 hong2
结存,jie2 cun2
棕熊,zong1 xiong2
棕毯,zong1 tan3
棕毛,zong1 mao2
结实,jie1 shi2
结实,jie1 shi5
结尾,jie2 wei3
结局,jie2 ju2
棕榈,zong1 lu:2
棕树,zong1 shu4
结巴,jie1 ba5
结帐,jie2 zhang4
棕垫,zong1 dian4
内踝,nei4 huai2
结幕,jie2 mu4
棒糖,bang4 tang2
结庐,jie2 lu2
棒硫,bang4 liu2
结彩,jie2 cai3
棒球,bang4 qiu2
棒杀,bang4 sha1
棒槌,bang4 chui2
结怨,jie2 yuan4
结成,jie2 cheng2
棒材,bang4 cai2
结扎,jie2 za1
结拜,jie2 bai4
结晶,jie2 jing1
棒子,bang4 zi5
棒坛,bang4 tan2
棒冰,bang4 bing1
内购,nei4 gou4
双手,shuang1 shou3
内宾,nei4 bin1
棍棒,gun4 bang4
棍杖,gun4 zhang4
棍子,gun4 zi5
双打,shuang1 da3
结末,jie2 mo4
结束,jie2 shu4
结果,jie1 guo3
棋赛,qi2 sai4
棋谱,qi2 pu3
棋艺,qi2 yi4
棋盘,qi2 pan2
棋王,qi2 wang2
结果,jie2 guo3
棋手,qi2 shou3
棋子,qi2 zi3
棋具,qi2 ju4
内详,nei4 xiang2
内讧,nei4 hong4
棉铃,mian2 ling2
棉袄,mian2 ao3
棉裤,mian2 ku4
棉被,mian2 bei4
棉衣,mian2 yi1
结核,jie2 he2
棉兰,Mian2 lan2
结案,jie2 an4
结业,jie2 ye4
结构,jie2 gou4
结欢,jie2 huan1
棉花,mian2 hua5
棉线,mian2 xian4
棉絮,mian2 xu4
棉纱,mian2 sha1
棉签,mian2 qian1
棉签,mian2 qian1
棉田,mian2 tian2
棉球,mian2 qiu2
棉毛,mian2 mao2
棉棒,mian2 bang4
棉条,mian2 tiao2
棉布,mian2 bu4
双抽,shuang1 chou1
结壳,jie1 ke2
结清,jie2 qing1
结疤,jie2 ba1
弃船,qi4 chuan2
结痂,jie2 jia1
弃置,qi4 zhi4
弃绝,qi4 jue2
结盟,jie2 meng2
弃用,qi4 yong4
弃权,qi4 quan2
弃樱,qi4 ying1
弃核,qi4 he2
结石,jie2 shi2
结算,jie2 suan4
弃市,qi4 shi4
弃守,qi4 shou3
弃婴,qi4 ying1
结节,jie2 jie2
弃世,qi4 shi4
内衬,nei4 chen4
内裤,nei4 ku4
内装,nei4 zhuang1
内袋,nei4 dai4
双拐,shuang1 guai3
结纳,jie2 na4
梵语,Fan4 yu3
结缘,jie2 yuan2
结缡,jie2 li2
结缨,jie2 ying1
梵书,Fan4 shu1
梵文,Fan4 wen2
梵教,Fan4 jiao4
结义,jie2 yi4
梵天,Fan4 tian1
结脉,jie2 mai4
梵呗,fan4 bai4
梵刹,Fan4 cha4
结肠,jie2 chang2
内衣,nei4 yi1
双拼,shuang1 pin1
梳头,shu1 tou2
梳理,shu1 li3
梳洗,shu1 xi3
梳子,shu1 zi5
结膜,jie2 mo2
结舌,jie2 she2
梳妆,shu1 zhuang1
内行,nei4 hang2
双击,shuang1 ji1
双摆,shuang1 bai3
械斗,xie4 dou4
械系,xie4 xi4
双数,shuang1 shu4
梯队,ti1 dui4
梯级,ti1 ji2
梯田,ti1 tian2
结草,jie2 cao3
梯板,ti1 ban3
结褵,jie2 li2
结亲,jie2 qin1
梯形,ti1 xing2
结记,jie2 ji4
结语,jie2 yu3
梯度,ti1 du4
梯己,ti1 ji5
梯子,ti1 zi5
结论,jie2 lun4
内蒙,Nei4 Meng3
梭鱼,suo1 yu2
梭镖,suo1 biao1
梭标,suo1 biao1
结识,jie2 shi2
梭子,suo1 zi5
双方,shuang1 fang1
双星,shuang1 xing1
梨涡,li2 wo1
结账,jie2 zhang4
结连,jie2 lian2
梨树,li2 shu4
梨树,Li2 shu4
梨果,li2 guo3
梨属,li2 shu3
梨子,li2 zi5
结队,jie2 dui4
结余,jie2 yu2
内臣,nei4 chen2
结发,jie2 fa4
梧栖,Wu2 qi1
结点,jie2 dian3
结党,jie2 dang3
梧桐,wu2 tong2
内脏,nei4 zang4
内膜,nei4 mo2
梧州,Wu2 zhou1
内能,nei4 neng2
双曲,shuang1 qu1
梣树,chen2 shu4
双柏,Shuang1 bai3
梢公,shao1 gong1
双核,shuang1 he2
内耳,nei4 er3
内耗,nei4 hao4
双极,shuang1 ji2
枭首,xiao1 shou3
枭雄,xiao1 xiong2
内置,nei4 zhi4
条陈,tiao2 chen2
条贯,tiao2 guan4
条规,tiao2 gui1
条纹,tiao2 wen2
条约,tiao2 yue1
条码,tiao2 ma3
条目,tiao2 mu4
条痕,tiao2 hen2
条理,tiao2 li3
条款,tiao2 kuan3
绝不,jue2 bu4
绝世,jue2 shi4
条案,tiao2 an4
绝交,jue2 jiao1
条畅,tiao2 chang4
绝代,jue2 dai4
条文,tiao2 wen2
条播,tiao2 bo1
绝佳,jue2 jia1
绝倒,jue2 dao3
绝伦,jue2 lun2
条形,tiao2 xing2
条几,tiao2 ji1
绝句,jue2 ju4
条幅,tiao2 fu2
条子,tiao2 zi5
绝命,jue2 ming4
条凳,tiao2 deng4
条例,tiao2 li4
绝品,jue2 pin3
绝唱,jue2 chang4
绝地,jue2 di4
绝域,jue2 yu4
绝境,jue2 jing4
条件,tiao2 jian4
双杠,shuang1 gang4
双桥,Shuang1 qiao2
内经,Nei4 jing1
梗阻,geng3 zu3
梗直,geng3 zhi2
梗犬,geng3 quan3
梗死,geng3 si3
梗概,geng3 gai4
梗塞,geng3 se4
梗咽,geng3 ye4
双流,Shuang1 liu2
绝壁,jue2 bi4
栀子,zhi1 zi5
双清,Shuang1 qing1
梓童,zi3 tong2
绝妙,jue2 miao4
梓潼,Zi3 tong2
绝密,jue2 mi4
梓官,Zi3 guan1
内积,nei4 ji1
内稃,nei4 fu1
双湖,Shuang1 hu2
双溪,Shuang1 xi1
内科,nei4 ke1
绝对,jue2 dui4
梆子,bang1 zi5
内码,nei4 ma3
梅雨,mei2 yu3
绝情,jue2 qing2
绝技,jue2 ji4
绝招,jue2 zhao1
绝景,jue2 jing3
绝望,jue2 wang4
绝气,jue2 qi4
绝活,jue2 huo2
绝灭,jue2 mie4
绝然,jue2 ran2
绝版,jue2 ban3
梅西,Mei2 xi1
绝产,jue2 chan3
绝症,jue2 zheng4
绝种,jue2 zhong3
绝笔,jue2 bi3
梅花,mei2 hua1
梅县,Mei2 xian4
绝粮,jue2 liang2
梅红,mei2 hong2
梅瑟,Mei2 se4
梅派,mei2 pai4
梅洛,Mei2 luo4
绝经,jue2 jing1
绝缘,jue2 yuan2
绝罚,jue2 fa2
梅江,Mei2 jiang1
绝育,jue2 yu4
梅氏,Mei2 shi4
梅毒,mei2 du2
绝诣,jue2 yi4
梅森,Mei2 sen1
绝迹,jue2 ji4
梅林,Mei2 lin2
绝配,jue2 pei4
梅斯,mei2 si1
绝非,jue2 fei1
绝食,jue2 shi2
梅州,Mei2 zhou1
双滦,Shuang1 luan2
梅山,Mei2 shan1
梅子,mei2 zi5
内眷,nei4 juan4
絘布,ci4 bu4
梅列,Mei2 lie4
双牌,Shuang1 pai2
内皮,nei4 pi2
内疚,nei4 jiu4
梁龙,liang2 long2
双独,shuang1 du2
双生,shuang1 sheng1
梁赞,Liang2 zan4
梁祝,Liang2 Zhu4
内爆,nei4 bao4
梁湘,Liang2 Xiang1
绦子,tao1 zi5
梁河,Liang2 he2
梁架,liang2 jia4
梁木,liang2 mu4
梁朝,Liang2 chao2
梁书,Liang2 shu1
绦带,tao1 dai4
梁平,Liang2 ping2
绦纶,di2 lun2
绦虫,tao1 chong2
双盲,shuang1 mang2
梁山,Liang2 shan1
双眸,shuang1 mou2
双眼,shuang1 yan3
内燃,nei4 ran2
梁园,Liang2 yuan2
绞刀,jiao3 dao1
绞刑,jiao3 xing2
绞扭,jiao3 niu3
内熵,nei4 shang1
内涝,nei4 lao4
杆菌,gan3 jun1
杆秤,gan3 cheng4
杆弟,gan1 di4
杆子,gan3 zi5
内源,nei4 yuan2
双管,shuang1 guan3
内湖,Nei4 hu2
双簧,shuang1 huang2
绞死,jiao3 si3
桶孔,tong3 kong3
桶口,tong3 kou3
内涵,nei4 han2
绞痛,jiao3 tong4
双脚,shuang1 jiao3
内流,nei4 liu2
双腿,shuang1 tui3
双膝,shuang1 xi1
内江,Nei4 jiang1
桫椤,suo1 luo2
双臂,shuang1 bi4
内核,nei4 he2
内敛,nei4 lian3
双号,shuang1 hao4
双规,shuang1 gui1
桔槔,jie2 gao1
桔梗,jie2 geng3
桔子,ju2 zi5
双亲,shuang1 qin1
内政,nei4 zheng4
桓玄,Huan2 Xuan2
桓桓,huan2 huan2
绞盘,jiao3 pan2
桓台,Huan2 tai2
绞索,jiao3 suo3
绞缢,jiao3 yi4
桓仁,Huan2 ren2
内插,nei4 cha1
内战,nei4 zhan4
双语,shuang1 yu3
绞肉,jiao3 rou4
桑那,sang1 na4
桑葚,sang1 shen4
桑耶,Sang1 ye1
绞车,jiao3 che1
桑科,Sang1 ke1
